[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:13 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:13 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:63 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:40 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:33 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:31 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 9 
[2020-12-13 02:51:48] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:54 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:40 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:59 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:9 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:32 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:10 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:24 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:46 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:33 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:58 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:8 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:9 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'request' message from Peer: 1007 for the pieceIndex: 56 
[2020-12-13 02:51:48] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:47 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:8 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:57 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:58 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer 1006 got the 'not interested' message from Peer: 1007 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:29 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:30 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:56 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:48] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:4 
[2020-12-13 02:51:48] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:49] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:53 
[2020-12-13 02:51:49] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:49] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:12 
[2020-12-13 02:51:49] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:49] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:57 
[2020-12-13 02:51:49] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:49] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:57 
[2020-12-13 02:51:49] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:49] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1007 for the piece index:58 
[2020-12-13 02:51:49] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:49] [INFO   ] Peer 1006 got the 'not interested' message from Peer: 1007 
[2020-12-13 02:51:49] [INFO   ] Peer: 1006 received the 'have' message from Peer: 1008 for the piece index:28 
