[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:13 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 6 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:6 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 5 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:5 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 24 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:24 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 41 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:41 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 35 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:35 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 50 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:50 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 40 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:40 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 12 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:12 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 4 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:4 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 11 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:11 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 57 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:57 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 34 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:34 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 19 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:19 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 10 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:10 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 33 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:33 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 56 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:56 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 3 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:3 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 32 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:32 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 2 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:2 
[2020-12-13 02:51:25] [INFO   ] NOTINTERESTED Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'request' message from Peer: 1002 for the pieceIndex: 18 
[2020-12-13 02:51:25] [INFO   ] PIECE Message construction in progress 
[2020-12-13 02:51:25] [INFO   ] Peer: 1001 received the 'have' message from Peer: 1002 for the piece index:18 
